N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
140.0,TIGER 200,33410.0,210.0,-0.62%,0.0,20831.0,62350.0,0.78,752797.0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
141.0,KCC,234000.0,20000.0,+9.35%,5000.0,20794.0,8886.0,13.16,233348.0,61.4,0.67,
142.0,KODEX 200TR,11225.0,80.0,-0.71%,0.0,20373.0,181500.0,1.6,237180.0,,,
143.0,신세계,203000.0,2500.0,-1.22%,5000.0,19986.0,9845.0,17.48,67716.0,4.92,10.34,
144.0,한미반도체,20300.0,1300.0,-6.02%,100.0,19760.0,97339.0,6.11,3841104.0,21.73,25.04,
145.0,대한전선,1582.0,46.0,-2.83%,100.0,19688.0,1244473.0,3.12,11892988.0,87.89,3.32,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
146.0,영원무역,44400.0,250.0,-0.56%,500.0,19674.0,44311.0,30.4,57006.0,2.92,26.8,
147.0,동서,19360.0,20.0,-0.10%,500.0,19302.0,99700.0,3.36,77611.0,11.5,11.33,
148.0,LS ELECTRIC,64000.0,300.0,+0.47%,5000.0,19200.0,30000.0,14.06,133124.0,21.26,5.95,
149.0,KODEX 레버리지,15980.0,240.0,-1.48%,0.0,19112.0,119600.0,3.31,10864022.0,,,
150.0,TIGER 미국S&P500,13795.0,25.0,+0.18%,0.0,18513.0,134200.0,1.0,801684.0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
151.0,LIG넥스원,84100.0,3600.0,+4.47%,5000.0,18502.0,22000.0,12.48,789400.0,15.05,14.48,
152.0,GS건설,21300.0,1000.0,-4.48%,5000.0,18229.0,85581.0,24.86,1080007.0,5.37,7.18,
153.0,현대일렉트릭,50500.0,500.0,-0.98%,5000.0,18204.0,36047.0,17.28,682100.0,11.2,22.13,
154.0,오뚜기,454000.0,3500.0,+0.78%,5000.0,18196.0,4008.0,11.44,4152.0,6.21,16.53,
155.0,효성첨단소재,406000.0,2000.0,-0.49%,5000.0,18189.0,4480.0,7.19,21827.0,14.51,19.11,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
156.0,HD현대인프라코어,8980.0,190.0,+2.16%,1000.0,17924.0,199603.0,16.23,3361676.0,7.72,15.29,
157.0,CJ대한통운,77700.0,1700.0,-2.14%,5000.0,17725.0,22812.0,16.35,36883.0,9.76,5.09,
158.0,LX세미콘,107900.0,200.0,+0.19%,500.0,17549.0,16264.0,27.31,267567.0,7.51,26.7,
159.0,대우건설,4150.0,130.0,-3.04%,5000.0,17248.0,415623.0,11.97,1014225.0,3.42,14.55,
160.0,효성티앤씨,394000.0,5500.0,-1.38%,5000.0,17051.0,4328.0,8.01,15137.0,147.12,0.88,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
161.0,JB금융지주,8640.0,180.0,-2.04%,5000.0,17019.0,196983.0,33.23,346527.0,2.83,13.76,
162.0,현대위아,61600.0,1800.0,+3.01%,5000.0,16752.0,27195.0,8.57,318437.0,25.61,1.99,
163.0,한전KPS,37200.0,500.0,-1.33%,200.0,16740.0,45000.0,7.64,150338.0,16.71,8.61,
164.0,KG모빌리티,8760.0,0.0,0.00%,5000.0,16377.0,186956.0,24.6,0.0,-8.18,-12.1,
165.0,서울가스,327500.0,140000.0,-29.95%,5000.0,16375.0,5000.0,5.62,23596.0,92.62,1.7,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
166.0,덴티움,143300.0,1200.0,-0.83%,500.0,15862.0,11069.0,23.51,65588.0,18.43,25.86,
167.0,두산,95700.0,2100.0,-2.15%,5000.0,15813.0,16524.0,8.26,74916.0,-2.94,-36.0,
168.0,TIGER 미국테크TOP10 INDXX,10935.0,30.0,-0.27%,0.0,15681.0,143400.0,0.58,836656.0,,,
169.0,하이트진로,22350.0,250.0,+1.13%,5000.0,15675.0,70134.0,10.1,203156.0,18.3,7.72,
170.0,롯데정밀화학,59800.0,500.0,-0.83%,5000.0,15428.0,25800.0,21.24,66032.0,10.56,6.51,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
171.0,TIGER 미국필라델피아반도체나스닥,10705.0,105.0,-0.97%,0.0,15372.0,143600.0,0.93,637526.0,,,
172.0,KODEX 23-12 은행채(AA+이상)액티브,10280.0,0.0,0.00%,0.0,15275.0,148590.0,0.0,28491.0,,,
173.0,에스엘,32100.0,800.0,+2.56%,500.0,14910.0,46449.0,13.1,202670.0,9.76,9.87,
174.0,롯데칠성,159600.0,600.0,+0.38%,500.0,14809.0,9279.0,12.1,20421.0,12.5,9.11,
175.0,솔루스첨단소재,41950.0,750.0,-1.76%,100.0,14729.0,35111.0,6.21,135181.0,-161.97,-2.68,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
176.0,TIGER MSCI Korea TR,13975.0,120.0,-0.85%,0.0,14716.0,105300.0,0.18,97798.0,,,
177.0,녹십자,125700.0,1300.0,-1.02%,5000.0,14690.0,11687.0,21.86,22983.0,22.44,5.03,
178.0,대성홀딩스,91100.0,39000.0,-29.98%,1000.0,14657.0,16089.0,6.48,47846.0,404.89,0.76,
179.0,현대엘리베이,34700.0,300.0,-0.86%,5000.0,14163.0,40815.0,29.25,172603.0,18.07,6.89,
180.0,삼천리,348500.0,149000.0,-29.95%,5000.0,14132.0,4055.0,15.25,36391.0,28.69,3.58,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
181.0,효성,66800.0,600.0,-0.89%,5000.0,14075.0,21071.0,5.31,22006.0,89.91,0.6,
182.0,후성,14100.0,200.0,-1.40%,500.0,13304.0,94352.0,2.94,1120034.0,13.47,31.6,
183.0,동원시스템즈,45750.0,1700.0,-3.58%,5000.0,13264.0,28991.0,13.55,141897.0,18.57,10.4,
